areaCode,areaName,areaType,date,capacityPillarOneTwo,cumAdmissions,cumCasesBySpecimenDate,cumDailyNsoDeathsByDeathDate,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,29/01/2021,806463,396707,3816615,129427,108322
K02000001,United Kingdom,overview,28/01/2021,805634,394020,3794849,128275,107255
K02000001,United Kingdom,overview,27/01/2021,812225,390974,3770720,127053,106148
K02000001,United Kingdom,overview,26/01/2021,810972,387916,3745051,125826,105037
K02000001,United Kingdom,overview,25/01/2021,809470,384765,3718086,124657,103978
K02000001,United Kingdom,overview,24/01/2021,809428,381834,3688187,123402,102814
K02000001,United Kingdom,overview,23/01/2021,806988,378722,3671036,122170,101657
K02000001,United Kingdom,overview,22/01/2021,811656,375605,3649217,120890,100493
K02000001,United Kingdom,overview,21/01/2021,810766,372212,3619697,119558,99249
K02000001,United Kingdom,overview,20/01/2021,811185,368576,3588046,118216,98013
K02000001,United Kingdom,overview,19/01/2021,813752,364526,3552985,116838,96717
K02000001,United Kingdom,overview,18/01/2021,810854,360365,3513528,115354,95358
K02000001,United Kingdom,overview,17/01/2021,799772,356300,3468767,113956,94064
K02000001,United Kingdom,overview,16/01/2021,802808,352550,3439930,112601,92797
K02000001,United Kingdom,overview,15/01/2021,802598,348609,3409412,111187,91491
K02000001,United Kingdom,overview,14/01/2021,795950,344924,3369031,109869,90266
K02000001,United Kingdom,overview,13/01/2021,801260,340821,3326668,108533,89039
K02000001,United Kingdom,overview,12/01/2021,799814,336597,3281280,107230,87825
K02000001,United Kingdom,overview,11/01/2021,793534,332014,3231907,105915,86616
K02000001,United Kingdom,overview,10/01/2021,784972,327705,3174812,104677,85486
K02000001,United Kingdom,overview,09/01/2021,786910,323768,3138482,103509,84391
K02000001,United Kingdom,overview,08/01/2021,779418,319641,3099401,102418,83373
K02000001,United Kingdom,overview,07/01/2021,776382,315642,3052426,101367,82387
K02000001,United Kingdom,overview,06/01/2021,768882,311347,3000471,100314,81393
K02000001,United Kingdom,overview,05/01/2021,774238,306955,2943099,99300,80462
K02000001,United Kingdom,overview,04/01/2021,760952,302837,2878021,98338,79556
K02000001,United Kingdom,overview,03/01/2021,753753,298901,2801882,97443,78716
K02000001,United Kingdom,overview,02/01/2021,758004,295252,2746720,96637,77957
K02000001,United Kingdom,overview,01/01/2021,710006,291808,2686303,95807,77198
K02000001,United Kingdom,overview,31/12/2020,720746,288439,2654473,94998,76450
K02000001,United Kingdom,overview,30/12/2020,721514,285518,2601698,94174,75693
K02000001,United Kingdom,overview,29/12/2020,738114,282224,2530944,93414,74972
K02000001,United Kingdom,overview,28/12/2020,755406,278972,2449463,92701,74316
K02000001,United Kingdom,overview,27/12/2020,748622,275834,2403889,91978,73638
K02000001,United Kingdom,overview,26/12/2020,719216,272962,2356197,91260,72986
K02000001,United Kingdom,overview,25/12/2020,700306,270432,2315829,90568,72332
K02000001,United Kingdom,overview,24/12/2020,719971,268251,2301659,89913,71720
K02000001,United Kingdom,overview,23/12/2020,711264,266168,2269858,89297,71138
K02000001,United Kingdom,overview,22/12/2020,715114,263889,2227697,88668,70573
K02000001,United Kingdom,overview,21/12/2020,682894,261408,2182047,88039,70011
K02000001,United Kingdom,overview,20/12/2020,663550,259038,2134688,87437,69436
K02000001,United Kingdom,overview,19/12/2020,646636,256867,2102243,86886,68930
K02000001,United Kingdom,overview,18/12/2020,572780,254822,2077100,86338,68442
K02000001,United Kingdom,overview,17/12/2020,584280,252901,2041272,85752,67928
K02000001,United Kingdom,overview,16/12/2020,549480,250757,2007379,85185,67390
K02000001,United Kingdom,overview,15/12/2020,533964,248676,1972476,84701,66957
K02000001,United Kingdom,overview,14/12/2020,552810,246718,1938642,84194,66498
K02000001,United Kingdom,overview,13/12/2020,542366,244762,1903942,83688,66019
K02000001,United Kingdom,overview,12/12/2020,542836,243007,1881959,83208,65601
K02000001,United Kingdom,overview,11/12/2020,537163,241207,1862607,82720,65164
K02000001,United Kingdom,overview,10/12/2020,536978,239519,1838555,82229,64711
K02000001,United Kingdom,overview,09/12/2020,552186,237764,1815954,81733,64264
